PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRet,DlyVol
84398,78462F10,SPY,46699,2018-01-02,268.770000,0.007157,86655749
84398,78462F10,SPY,46699,2018-01-03,270.470000,0.006325,90070416
84398,78462F10,SPY,46699,2018-01-04,271.610000,0.004215,80636408
84398,78462F10,SPY,46699,2018-01-05,273.420000,0.006664,83523995
84398,78462F10,SPY,46699,2018-01-08,273.920000,0.001829,57319192
84398,78462F10,SPY,46699,2018-01-09,274.540000,0.002263,57253957
84398,78462F10,SPY,46699,2018-01-10,274.120000,-0.001530,69574318
84398,78462F10,SPY,46699,2018-01-11,276.120000,0.007296,62361455
84398,78462F10,SPY,46699,2018-01-12,277.920000,0.006519,90816076
84398,78462F10,SPY,46699,2018-01-16,276.970000,-0.003418,106555142
84398,78462F10,SPY,46699,2018-01-17,279.610000,0.009532,113258799
84398,78462F10,SPY,46699,2018-01-18,279.140000,-0.001681,100728006
84398,78462F10,SPY,46699,2018-01-19,280.410000,0.004550,140920098
84398,78462F10,SPY,46699,2018-01-22,282.690000,0.008131,91322408
84398,78462F10,SPY,46699,2018-01-23,283.290000,0.002122,97084700
84398,78462F10,SPY,46699,2018-01-24,283.180000,-0.000388,134816117
84398,78462F10,SPY,46699,2018-01-25,283.300000,0.000424,84587313
84398,78462F10,SPY,46699,2018-01-26,286.580000,0.011578,107743119
84398,78462F10,SPY,46699,2018-01-29,284.680000,-0.006630,90118337
84398,78462F10,SPY,46699,2018-01-30,281.760000,-0.010257,131796419
84398,78462F10,SPY,46699,2018-01-31,281.900000,0.000497,118948131
84398,78462F10,SPY,46699,2018-02-01,281.580000,-0.001135,90102470
84398,78462F10,SPY,46699,2018-02-02,275.450000,-0.021770,173174790
84398,78462F10,SPY,46699,2018-02-05,263.930000,-0.041822,294681816
84398,78462F10,SPY,46699,2018-02-06,269.130000,0.019702,355026782
84398,78462F10,SPY,46699,2018-02-07,267.670000,-0.005425,167376100
84398,78462F10,SPY,46699,2018-02-08,257.630000,-0.037509,246449505
84398,78462F10,SPY,46699,2018-02-09,261.500000,0.015022,283565315
84398,78462F10,SPY,46699,2018-02-12,265.340000,0.014685,143735976
84398,78462F10,SPY,46699,2018-02-13,266.000000,0.002487,81223640
84398,78462F10,SPY,46699,2018-02-14,269.590000,0.013496,120735685
